Num,Address,Checkins,City,Country,Created,Latitude,Longitude,Title,Type
314,наб. Обводного канала 181,0,2,1,1280741941,59.909463,30.294332,Рокси,4
315,Спиридоньевский пер. 2,1,1,1,1280741941,55.761654,37.593381,Экипаж,4
316,Б.Ордынка 40К1,5,1,1,1280741941,55.736584,37.623905,Cotton Club,4
317,Кировоградская 36а,9,1,1,1280741941,55.603202,37.599067,Goodwin,4
318,Гиляровского 4К2,313,1,1,1280741941,55.77472,37.630751,Эгоистка,4
319,Дмитровское ш. 27,0,1,1,1280741941,55.826554,37.571318,Cadilluck,4
320,Серпуховский Вал 17,5,1,1,1280741941,55.710824,37.613207,Живой уголок,4
321,Рождественка 6К9,40,1,1,1280741941,55.760859,37.623834,Spirit,4
322,Гарибальди 19,21,1,1,1280741941,55.672686,37.549875,Оркестрион,4
323,Пушечная 9К6,0,1,1,1280741941,55.760824,37.624462,Арт`Эриа,4
324,Трубниковский пер. 11,3,1,1,1280741941,55.753215,37.586356,One More,4
325,Стромынка 6,6,1,1,1280741941,55.791253,37.687336,Бакинский дворик,4
326,1-я Тверская-Ямская 9,5,1,1,1280741941,55.772097,37.591916,Sungate,4
327,Луганская 14,2,2,1,1280741941,59.902149,30.384859,Fort MC,4
328,Варшавское ш. 135а,7,1,1,1280741941,55.59572,37.602651,Миг-21,4
329,1-я Останкинская 53,65,1,1,1280741941,55.824314,37.632053,Mezzo Forte,4
330,Мясницкая 13,3,1,1,1280741941,55.762449,37.632395,Starz,4
331,наб. реки Мойки 82,0,2,1,1280741941,59.929867,30.303462,Объект,4
332,Милютинский пер. 6К1,2,1,1,1280741941,55.762019,37.63222,База,4
333,Олимпийский просп. 16К1,9,1,1,1280741941,55.781203,37.626396,Анфилада,4
334,Пушечная 9К6,0,1,1,1280741941,55.760824,37.624462,Hungry Duck,4
